86,"Bluebaum, Matthias",GER,2649, ,1997,2667 (69)
87,"Ni, Hua",CHN,2649, ,1983,2658 (83)
88,"Malakhov, Vladimir",FID,2648, ,1980,2648 (94)
89,"Bartel, Mateusz",POL,2647, ,1985,2627 (122)
90,"Bjerre, Jonas Buhl",DEN,2646, ,2004,2623 (131)
91,"Ponomariov, Ruslan",UKR,2646, ,1983,2652 (90)
92,"Xiong, Jeffery",USA,2646, ,2000,2686 (49)
93,"Ter-Sahakyan, Samvel",ARM,2644, ,1993,2618 (152)
94,"Pichot, Alan",ESP,2644, ,1998,2642 (100)
95,"Brkic, Ante",CRO,2643, ,1988,2612 (160)
96,"Nguyen, Thai Dai Van",CZE,2643, ,2001,2637 (108)
97,"Nabaty, Tamir",ISR,2643, ,1991,2638 (104)
98,"Liang, Awonder",USA,2642, ,2003,2645 (98)
99,"Ma, Qun",CHN,2641, ,1991,2651 (92)
100,"Yilmaz, Mustafa",TUR,2641, ,1992,2642 (101)
